GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mmra,de.fherfurt.core.contract,Contract,83,0,0,0,34,0,17,0,17,0
mmra,de.fherfurt.core.contract,ContractManager,220,0,38,0,48,0,33,0,14,0
mmra,de.fherfurt.core.contract,ContractValidator,49,0,26,0,5,0,17,0,4,0
mmra,de.fherfurt.core.customer,Customer,99,0,0,0,36,0,19,0,19,0
mmra,de.fherfurt.core.customer,CustomerManager,122,0,14,0,30,0,14,0,7,0
mmra,de.fherfurt,Main,4,0,0,0,2,0,2,0,2,0
mmra,de.fherfurt.logic.customerAddress,CustomerAddress,53,0,0,0,22,0,11,0,11,0
mmra,de.fherfurt.logic.customerAddress,CustomerAddressManager,108,0,26,0,27,0,16,0,3,0
mmra,de.fherfurt.model.vehicle,Vehicle,63,0,0,0,26,0,13,0,13,0
mmra,de.fherfurt.model.vehicle,VehicleManager,164,0,32,0,45,0,22,0,6,0
mmra,de.fherfurt.logic.rentVehicle,RentVehicle,62,0,0,0,23,0,12,0,12,0
mmra,de.fherfurt.logic.saleVehicle,SaleVehicle,42,0,0,0,15,0,8,0,8,0
mmra,de.fherfurt.logic.customerHistory,CustomerHistoryReview,33,0,0,0,6,0,1,0,1,0
mmra,de.fherfurt.logic.customerHistory,CustomerHistory,73,0,0,0,30,0,15,0,15,0
mmra,de.fherfurt.logic.customerHistory,CustomerHistoryManager,107,0,22,0,24,0,15,0,4,0
mmra,de.fherfurt.core.maintenance,Maintenance,63,0,0,0,26,0,13,0,13,0
mmra,de.fherfurt.core.maintenance,MaintenanceManager,65,0,6,0,19,0,6,0,3,0
mmra,de.fherfurt.core.payment,Payment,79,0,0,0,30,0,15,0,15,0
mmra,de.fherfurt.core.payment,PaymentManager,124,0,20,0,27,0,18,0,8,0
mmra,de.fherfurt.core.payment,PaymentStatus,27,0,0,0,5,0,1,0,1,0
mmra,de.fherfurt.core.payment,PaymentMethod,33,0,0,0,6,0,1,0,1,0
